Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16	0.10000	999.84	0.0010002	0.0018429	0.10186	6.7371e-06	4.2170	4.2194	1402.4	-0.24141	1790.9	0.56109	liquid
278.17	0.10000	999.97	0.0010000	21.099	21.199	0.076543	4.2048	4.2050	1426.3	-0.23674	1517.2	0.57061	liquid
283.18	0.10000	999.70	0.0010003	42.137	42.237	0.15150	4.1905	4.1951	1447.4	-0.23248	1304.8	0.58010	liquid
288.19	0.10000	999.10	0.0010009	63.133	63.233	0.22500	4.1743	4.1884	1466.1	-0.22855	1136.4	0.58945	liquid
293.20	0.10000	998.20	0.0010018	84.102	84.202	0.29713	4.1565	4.1840	1482.5	-0.22488	1000.5	0.59854	liquid
298.21	0.10000	997.03	0.0010030	105.05	105.15	0.36799	4.1373	4.1813	1496.8	-0.22143	888.95	0.60729	liquid
303.22	0.10000	995.63	0.0010044	125.99	126.09	0.43762	4.1170	4.1798	1509.3	-0.21815	796.24	0.61561	liquid
308.22	0.10000	994.01	0.0010060	146.93	147.03	0.50611	4.0955	4.1793	1520.0	-0.21501	718.25	0.62344	liquid
313.23	0.10000	992.18	0.0010079	167.86	167.96	0.57348	4.0730	4.1794	1529.0	-0.21199	651.95	0.63074	liquid
318.24	0.10000	990.17	0.0010099	188.80	188.90	0.63979	4.0497	4.1802	1536.6	-0.20905	595.09	0.63751	liquid
323.25	0.10000	987.99	0.0010122	209.74	209.84	0.70509	4.0257	4.1814	1542.7	-0.20619	545.91	0.64371	liquid
328.26	0.10000	985.64	0.0010146	230.69	230.79	0.76940	4.0010	4.1830	1547.5	-0.20338	503.09	0.64938	liquid
333.27	0.10000	983.13	0.0010172	251.65	251.75	0.83276	3.9759	4.1850	1551.0	-0.20060	465.55	0.65450	liquid
338.28	0.10000	980.48	0.0010199	272.62	272.72	0.89521	3.9503	4.1874	1553.4	-0.19785	432.45	0.65911	liquid
